ProductName,Proportionality
Utility-Scale Onshore Wind Turbine,21.844429670434042
Utility-Scale Offshore Wind Turbine,14.436318738721626
Wind Turbine Maintenance Service Contract,7.6930382752398145
Wind Turbine Blades,5.8884984328996115
Wind Turbine Gearboxes,5.318643745844811
Wind Turbine Towers,4.74878905879001
Wind Turbine Nacelles,4.273910152911008
Wind Turbine Control Systems,3.039224997625606
Turbine Installation Services,2.469370310570805
Remote Monitoring & Diagnostics Platform,2.1844429670434042
Grid Connection Solutions,1.994491404691804
Hybrid Wind-Solar Solutions,1.7570519517523036
Energy Storage Integration Package,1.6145882799886033
Wind Turbine Generators,1.4721246082249029
Turbine Upgrades & Life Extension Kits,1.2821730458733027
Predictive Maintenance Software,1.1397093741096023
Annual Safety Inspection Package,0.9782505461107418
Wind Resource Assessment Services,0.9497578117580018
Turbine Retrofit Packages,0.9022699211701016
Digital Twin Modeling Service,0.8737771868173618
Performance Optimization Analytics,0.8547820305822016
Blade Repair Services,0.7882989837591414
Component Refurbishment Services,0.7598062494064015
Fleet Asset Management Platform,0.7313135150536615
Decommissioning & Repowering Services,0.7028207807009214
Lightning Protection Systems,0.6838256244657613
High-Voltage Transformer Units,0.6648304682306013
Noise Reduction Retrofit Kits,0.6363377338778614
Foundation Design & Supply,0.5983474214075412
Environmental Impact Assessment Service,0.5793522651723811
Crane & Heavy Lift Rental Services,0.560357108937221
Offshore Substation Packages,0.541361952702061
Turbine Commissioning Services,0.522366796466901
Power Purchase Agreement Advisory Service,0.503371640231741
Wind Measurement Equipment,0.4843764839965809
Subsea Cable & Connection Solutions,0.46538132776142094
Smart Power Forecasting Tools,0.4463861715262608
Wind Farm Design & Engineering Consulting,0.4273910152911008
Remote Troubleshooting Support,0.41789343717352084
Ice Detection & Prevention Systems,0.40839585905594084
Project Financing Solutions,0.3988982809383607
Training & Certification Programs,0.37990312470320076
Access & Service Platforms,0.37040554658562075
Oil & Lubricant Supply Services,0.36090796846804074
Customer Portal Access Subscription,0.3514103903504607
Rotor Balancing Service,0.33241523411530066
Offshore Crew Transfer Solutions,0.32291765599772065
Blade Cleaning Equipment,0.30392249976256064
Wind Farm Operations Management,0.2754297654098205
SCADA System Upgrades,0.26593218729224055
