document_number,debit_credit,date,amount,quantity,account_id,product_id,procurement_id,service_id,vendor_id,customer_id
78002839,Credit,2022-04-19,-10693348.69,47.0,308,-1,781,-1,439,-1
78001356,Credit,2024-11-08,-4050100.42,18.0,308,-1,781,-1,439,-1
78002755,Credit,2023-04-02,-45887.91,0.0,308,-1,781,-1,439,-1
78002634,Credit,2020-01-22,-51129805.92,227.0,308,-1,781,-1,439,-1
78002771,Credit,2022-10-25,-796365.96,3.0,308,-1,781,-1,439,-1
78001718,Credit,2021-10-01,-38919054.98,172.0,308,-1,781,-1,439,-1
78002167,Credit,2022-11-11,-131754.49,0.0,308,-1,781,-1,439,-1
78001198,Credit,2022-06-05,-14511136.52,64.0,308,-1,781,-1,439,-1
78001814,Credit,2025-08-05,-31641373.44,140.0,308,-1,781,-1,439,-1
78002346,Credit,2020-03-29,-13162947.69,58.0,308,-1,781,-1,439,-1
78002822,Credit,2024-02-08,-44167863.1,196.0,308,-1,781,-1,439,-1
78002355,Credit,2025-02-11,-31700.99,0.0,308,-1,781,-1,439,-1
78002287,Credit,2025-10-03,-55143756.98,245.0,308,-1,781,-1,439,-1
78001216,Credit,2021-01-21,-8249700.11,36.0,308,-1,781,-1,439,-1
78002724,Credit,2023-03-08,-1207176.23,5.0,308,-1,781,-1,439,-1
78001555,Credit,2020-04-04,-15020662.41,66.0,308,-1,781,-1,439,-1
78002457,Credit,2022-12-27,-23697925.48,105.0,308,-1,781,-1,439,-1
78001802,Credit,2020-09-30,-142973181.25,635.0,308,-1,781,-1,439,-1
78002483,Credit,2025-01-12,-15333670.11,68.0,308,-1,781,-1,439,-1
78001700,Credit,2020-09-05,-8684854.98,38.0,308,-1,781,-1,439,-1
78001502,Credit,2023-01-28,-6250644.73,27.0,308,-1,781,-1,439,-1
78001468,Credit,2023-02-14,-10219.36,0.0,308,-1,781,-1,439,-1
78002974,Credit,2025-10-31,-104389.55,0.0,308,-1,781,-1,439,-1
78002729,Credit,2023-12-06,-61935101.27,275.0,308,-1,781,-1,439,-1
78002805,Credit,2021-09-23,-11921839.74,52.0,308,-1,781,-1,439,-1
78001365,Credit,2021-06-08,-1479778.23,6.0,308,-1,781,-1,439,-1
78002795,Credit,2020-10-06,-7833546.99,34.0,308,-1,781,-1,439,-1
78002936,Credit,2024-07-18,-6922393.42,30.0,308,-1,781,-1,439,-1
78002262,Credit,2024-02-23,-12487622.63,55.0,308,-1,781,-1,439,-1
78001623,Credit,2023-08-27,-23547196.42,104.0,308,-1,781,-1,439,-1
78002604,Credit,2020-03-29,-110200.61,0.0,308,-1,782,-1,428,-1
78001919,Credit,2024-08-01,-15553.27,0.0,308,-1,782,-1,428,-1
78001560,Credit,2023-11-07,-53994727.64,199.0,308,-1,782,-1,428,-1
78001822,Credit,2025-10-13,-3334286.87,12.0,308,-1,782,-1,428,-1
78001966,Credit,2023-07-09,-4646967.32,17.0,308,-1,782,-1,428,-1
78001662,Credit,2021-10-28,-54718598.7,202.0,308,-1,782,-1,428,-1
78001750,Credit,2022-04-16,-69953458.8,259.0,308,-1,782,-1,428,-1
78002872,Credit,2021-01-17,-848291.74,3.0,308,-1,782,-1,428,-1
78002419,Credit,2024-05-02,-224745.33,0.0,308,-1,782,-1,428,-1
78002418,Credit,2024-03-30,-197377.83,0.0,308,-1,782,-1,428,-1
78002650,Credit,2021-03-12,-112145.2,0.0,308,-1,782,-1,428,-1
78002098,Credit,2020-12-11,-26059753.39,96.0,308,-1,782,-1,428,-1
78002121,Credit,2020-06-17,-21938601.18,81.0,308,-1,782,-1,428,-1
78001382,Credit,2025-06-23,-308983.75,1.0,308,-1,782,-1,428,-1
78002646,Credit,2021-05-22,-9324320.62,34.0,308,-1,782,-1,428,-1
78002892,Credit,2022-01-24,-14791509.09,54.0,308,-1,782,-1,428,-1
78002393,Credit,2021-09-06,-1760207.59,6.0,308,-1,782,-1,428,-1
78002308,Credit,2022-06-23,-15905624.92,58.0,308,-1,782,-1,428,-1
78002279,Credit,2024-04-13,-3062578.99,11.0,308,-1,782,-1,428,-1
78002853,Credit,2025-03-25,-2570202.77,9.0,308,-1,782,-1,428,-1
78001308,Credit,2021-01-31,-28298675.9,104.0,308,-1,782,-1,428,-1
78002652,Credit,2024-02-14,-15924923.05,58.0,308,-1,782,-1,428,-1
78001175,Credit,2022-02-11,-235330.16,0.0,308,-1,782,-1,428,-1
78001227,Credit,2025-11-20,-5649677.71,20.0,308,-1,782,-1,428,-1
78001346,Credit,2021-10-17,-2266698.58,8.0,308,-1,782,-1,428,-1
78002641,Credit,2020-01-16,-2256285.88,8.0,308,-1,782,-1,428,-1
78002365,Credit,2023-02-02,-60787527.51,225.0,308,-1,782,-1,428,-1
78002919,Credit,2020-11-25,-9437146.29,34.0,308,-1,782,-1,428,-1
78002985,Credit,2020-04-06,-1902475.33,7.0,308,-1,782,-1,428,-1
78002262,Credit,2024-03-10,-11205124.0,41.0,308,-1,782,-1,428,-1
78002635,Credit,2024-05-24,-19763424.23,823.0,309,-1,783,-1,421,-1
78002020,Credit,2022-10-05,-187044.57,7.0,309,-1,783,-1,421,-1
78002711,Credit,2024-01-24,-74493.8,3.0,309,-1,783,-1,421,-1
78001349,Credit,2023-03-23,-4383476.84,182.0,309,-1,783,-1,421,-1
78002978,Credit,2023-10-11,-2768861.24,115.0,309,-1,783,-1,421,-1
78001454,Credit,2023-07-29,-459746.94,19.0,309,-1,783,-1,421,-1
78001440,Credit,2023-12-31,-159059.49,6.0,309,-1,783,-1,421,-1
78001760,Credit,2021-03-09,-119047.03,4.0,309,-1,783,-1,421,-1
78002611,Credit,2021-08-11,-13190803.31,549.0,309,-1,783,-1,421,-1
78001514,Credit,2022-08-20,-161836.03,6.0,309,-1,783,-1,421,-1
78002104,Credit,2022-09-03,-3149699.9,131.0,309,-1,783,-1,421,-1
78002384,Credit,2024-08-27,-22091858.25,920.0,309,-1,783,-1,421,-1
78001287,Credit,2022-03-16,-18377226.47,765.0,309,-1,783,-1,421,-1
78001007,Credit,2020-12-20,-4046538.61,168.0,309,-1,783,-1,421,-1
78001086,Credit,2021-07-02,-278027.15,11.0,309,-1,783,-1,421,-1
78001997,Credit,2021-04-11,-2898.46,0.0,309,-1,783,-1,421,-1
78001285,Credit,2024-05-22,-71279.5,2.0,309,-1,783,-1,421,-1
78002422,Credit,2022-10-26,-310575.38,12.0,309,-1,783,-1,421,-1
78001073,Credit,2024-04-01,-15817460.19,659.0,309,-1,783,-1,421,-1
78002462,Credit,2022-06-29,-1835500.56,76.0,309,-1,783,-1,421,-1
78002146,Credit,2025-05-05,-1124151.2,46.0,309,-1,783,-1,421,-1
78002400,Credit,2025-11-26,-3321.77,0.0,309,-1,783,-1,421,-1
78001805,Credit,2024-01-08,-41884.99,1.0,309,-1,783,-1,421,-1
78002166,Credit,2025-03-11,-6280352.92,261.0,309,-1,783,-1,421,-1
78001157,Credit,2023-01-16,-122453.04,5.0,309,-1,783,-1,421,-1
78001429,Credit,2025-08-10,-9492426.55,395.0,309,-1,783,-1,421,-1
78002471,Credit,2024-12-29,-4645618.53,193.0,309,-1,783,-1,421,-1
78002433,Credit,2025-12-14,-7889299.63,328.0,309,-1,783,-1,421,-1
78002394,Credit,2023-09-26,-46440.39,1.0,309,-1,783,-1,421,-1
78002132,Credit,2024-09-06,-61619193.03,2567.0,309,-1,783,-1,421,-1
78001845,Credit,2023-04-02,-1147400.34,37.0,309,-1,784,-1,421,-1
78002730,Credit,2021-07-20,-425200.09,13.0,309,-1,784,-1,421,-1
78001035,Credit,2022-02-16,-1188257.48,38.0,309,-1,784,-1,421,-1
78002113,Credit,2025-05-14,-21795003.1,703.0,309,-1,784,-1,421,-1
78002020,Credit,2020-05-01,-3128159.18,100.0,309,-1,784,-1,421,-1
78001973,Credit,2023-07-18,-529466.1,17.0,309,-1,784,-1,421,-1
78002438,Credit,2022-03-27,-2949770.5,95.0,309,-1,784,-1,421,-1
78002997,Credit,2022-04-27,-10260332.45,330.0,309,-1,784,-1,421,-1
78002017,Credit,2025-04-24,-15032679.28,484.0,309,-1,784,-1,421,-1
78002319,Credit,2025-02-17,-2183872.98,70.0,309,-1,784,-1,421,-1
78002865,Credit,2023-08-03,-12483032.21,402.0,309,-1,784,-1,421,-1
78001712,Credit,2021-08-20,-11299.91,0.0,309,-1,784,-1,421,-1
78002069,Credit,2022-11-06,-783221.85,25.0,309,-1,784,-1,421,-1
78001487,Credit,2022-06-12,-2018031.66,65.0,309,-1,784,-1,421,-1
78001618,Credit,2022-02-14,-20061217.37,647.0,309,-1,784,-1,421,-1
78001169,Credit,2020-08-13,-6262506.26,202.0,309,-1,784,-1,421,-1
