date,employee_id,line_id,amount
2025-01,265,Monthly-pay,135000.0
2025-02,265,Monthly-pay,135000.0
2025-03,265,Monthly-pay,135000.0
2025-04,265,Monthly-pay,135000.0
2025-05,265,Monthly-pay,135000.0
2025-06,265,Monthly-pay,135000.0
2025-07,265,Monthly-pay,135000.0
2025-08,265,Monthly-pay,135000.0
2025-09,265,Monthly-pay,135000.0
2025-10,265,Monthly-pay,135000.0
2025-11,265,Monthly-pay,135000.0
2025-12,265,Monthly-pay,135000.0
2025-01,530,Monthly-pay,131600.0
2025-02,530,Monthly-pay,131600.0
2025-03,530,Monthly-pay,131600.0
2025-04,530,Monthly-pay,131600.0
2025-05,530,Monthly-pay,131600.0
2025-06,530,Monthly-pay,131600.0
2025-07,530,Monthly-pay,131600.0
2025-08,530,Monthly-pay,131600.0
2025-09,530,Monthly-pay,131600.0
2025-10,530,Monthly-pay,131600.0
2025-11,530,Monthly-pay,131600.0
2025-12,530,Monthly-pay,131600.0
2025-01,130,Monthly-pay,93700.0
2025-02,130,Monthly-pay,93700.0
2025-03,130,Monthly-pay,93700.0
2025-04,130,Monthly-pay,93700.0
2025-05,130,Monthly-pay,93700.0
2025-06,130,Monthly-pay,93700.0
2025-07,130,Monthly-pay,93700.0
2025-08,130,Monthly-pay,93700.0
2025-09,130,Monthly-pay,93700.0
2025-10,130,Monthly-pay,93700.0
2025-11,130,Monthly-pay,93700.0
2025-12,130,Monthly-pay,93700.0
2025-01,167,Monthly-pay,88800.0
2025-02,167,Monthly-pay,88800.0
2025-03,167,Monthly-pay,88800.0
2025-04,167,Monthly-pay,88800.0
2025-05,167,Monthly-pay,88800.0
2025-06,167,Monthly-pay,88800.0
2025-07,167,Monthly-pay,88800.0
2025-08,167,Monthly-pay,88800.0
2025-09,167,Monthly-pay,88800.0
2025-10,167,Monthly-pay,88800.0
2025-11,167,Monthly-pay,88800.0
2025-12,167,Monthly-pay,88800.0
2025-01,849,Monthly-pay,84700.0
2025-02,849,Monthly-pay,84700.0
2025-03,849,Monthly-pay,84700.0
2025-04,849,Monthly-pay,84700.0
2025-05,849,Monthly-pay,84700.0
2025-06,849,Monthly-pay,84700.0
2025-07,849,Monthly-pay,84700.0
2025-08,849,Monthly-pay,84700.0
2025-09,849,Monthly-pay,84700.0
2025-10,849,Monthly-pay,84700.0
2025-11,849,Monthly-pay,84700.0
2025-12,849,Monthly-pay,84700.0
2025-01,983,Monthly-pay,82900.0
2025-02,983,Monthly-pay,82900.0
2025-03,983,Monthly-pay,82900.0
2025-04,983,Monthly-pay,82900.0
2025-05,983,Monthly-pay,82900.0
2025-06,983,Monthly-pay,82900.0
2025-07,983,Monthly-pay,82900.0
2025-08,983,Monthly-pay,82900.0
2025-09,983,Monthly-pay,82900.0
2025-10,983,Monthly-pay,82900.0
2025-11,983,Monthly-pay,82900.0
2025-12,983,Monthly-pay,82900.0
2025-01,462,Monthly-pay,62300.0
2025-02,462,Monthly-pay,62300.0
2025-03,462,Monthly-pay,62300.0
2025-04,462,Monthly-pay,62300.0
2025-05,462,Monthly-pay,62300.0
2025-06,462,Monthly-pay,62300.0
2025-07,462,Monthly-pay,62300.0
2025-08,462,Monthly-pay,62300.0
2025-09,462,Monthly-pay,62300.0
2025-10,462,Monthly-pay,62300.0
2025-11,462,Monthly-pay,62300.0
2025-12,462,Monthly-pay,62300.0
2025-01,207,Monthly-pay,59700.0
2025-02,207,Monthly-pay,59700.0
2025-03,207,Monthly-pay,59700.0
2025-04,207,Monthly-pay,59700.0
2025-05,207,Monthly-pay,59700.0
2025-06,207,Monthly-pay,59700.0
2025-07,207,Monthly-pay,59700.0
2025-08,207,Monthly-pay,59700.0
2025-09,207,Monthly-pay,59700.0
2025-10,207,Monthly-pay,59700.0
2025-11,207,Monthly-pay,59700.0
2025-12,207,Monthly-pay,59700.0
2025-01,414,Monthly-pay,59700.0
2025-02,414,Monthly-pay,59700.0
2025-03,414,Monthly-pay,59700.0
2025-04,414,Monthly-pay,59700.0
2025-05,414,Monthly-pay,59700.0
2025-06,414,Monthly-pay,59700.0
2025-07,414,Monthly-pay,59700.0
2025-08,414,Monthly-pay,59700.0
2025-09,414,Monthly-pay,59700.0
2025-10,414,Monthly-pay,59700.0
2025-11,414,Monthly-pay,59700.0
2025-12,414,Monthly-pay,59700.0
2025-01,392,Monthly-pay,53700.0
2025-02,392,Monthly-pay,53700.0
2025-03,392,Monthly-pay,53700.0
2025-04,392,Monthly-pay,53700.0
2025-05,392,Monthly-pay,53700.0
2025-06,392,Monthly-pay,53700.0
2025-07,392,Monthly-pay,53700.0
2025-08,392,Monthly-pay,53700.0
2025-09,392,Monthly-pay,53700.0
2025-10,392,Monthly-pay,53700.0
2025-11,392,Monthly-pay,53700.0
2025-12,392,Monthly-pay,53700.0
2025-01,265,A-indkomst uden bidrag,0.0
2025-02,265,A-indkomst uden bidrag,0.0
2025-03,265,A-indkomst uden bidrag,0.0
2025-04,265,A-indkomst uden bidrag,0.0
2025-05,265,A-indkomst uden bidrag,0.0
2025-06,265,A-indkomst uden bidrag,0.0
2025-07,265,A-indkomst uden bidrag,0.0
2025-08,265,A-indkomst uden bidrag,0.0
2025-09,265,A-indkomst uden bidrag,0.0
2025-10,265,A-indkomst uden bidrag,0.0
2025-11,265,A-indkomst uden bidrag,0.0
2025-12,265,A-indkomst uden bidrag,0.0
2025-01,530,A-indkomst uden bidrag,0.0
2025-02,530,A-indkomst uden bidrag,0.0
2025-03,530,A-indkomst uden bidrag,0.0
2025-04,530,A-indkomst uden bidrag,0.0
2025-05,530,A-indkomst uden bidrag,0.0
2025-06,530,A-indkomst uden bidrag,0.0
2025-07,530,A-indkomst uden bidrag,0.0
2025-08,530,A-indkomst uden bidrag,0.0
2025-09,530,A-indkomst uden bidrag,0.0
2025-10,530,A-indkomst uden bidrag,0.0
2025-11,530,A-indkomst uden bidrag,0.0
2025-12,530,A-indkomst uden bidrag,0.0
2025-01,130,A-indkomst uden bidrag,0.0
2025-02,130,A-indkomst uden bidrag,0.0
2025-03,130,A-indkomst uden bidrag,0.0
2025-04,130,A-indkomst uden bidrag,0.0
2025-05,130,A-indkomst uden bidrag,0.0
2025-06,130,A-indkomst uden bidrag,0.0
2025-07,130,A-indkomst uden bidrag,0.0
2025-08,130,A-indkomst uden bidrag,0.0
2025-09,130,A-indkomst uden bidrag,0.0
2025-10,130,A-indkomst uden bidrag,0.0
2025-11,130,A-indkomst uden bidrag,0.0
2025-12,130,A-indkomst uden bidrag,0.0
2025-01,167,A-indkomst uden bidrag,0.0
2025-02,167,A-indkomst uden bidrag,0.0
2025-03,167,A-indkomst uden bidrag,0.0
2025-04,167,A-indkomst uden bidrag,0.0
2025-05,167,A-indkomst uden bidrag,0.0
2025-06,167,A-indkomst uden bidrag,0.0
2025-07,167,A-indkomst uden bidrag,0.0
2025-08,167,A-indkomst uden bidrag,0.0
2025-09,167,A-indkomst uden bidrag,0.0
2025-10,167,A-indkomst uden bidrag,0.0
2025-11,167,A-indkomst uden bidrag,0.0
2025-12,167,A-indkomst uden bidrag,0.0
2025-01,849,A-indkomst uden bidrag,0.0
2025-02,849,A-indkomst uden bidrag,0.0
2025-03,849,A-indkomst uden bidrag,0.0
2025-04,849,A-indkomst uden bidrag,0.0
2025-05,849,A-indkomst uden bidrag,0.0
2025-06,849,A-indkomst uden bidrag,0.0
2025-07,849,A-indkomst uden bidrag,0.0
2025-08,849,A-indkomst uden bidrag,0.0
2025-09,849,A-indkomst uden bidrag,0.0
2025-10,849,A-indkomst uden bidrag,0.0
2025-11,849,A-indkomst uden bidrag,0.0
2025-12,849,A-indkomst uden bidrag,0.0
2025-01,983,A-indkomst uden bidrag,0.0
2025-02,983,A-indkomst uden bidrag,0.0
2025-03,983,A-indkomst uden bidrag,0.0
2025-04,983,A-indkomst uden bidrag,0.0
2025-05,983,A-indkomst uden bidrag,0.0
2025-06,983,A-indkomst uden bidrag,0.0
2025-07,983,A-indkomst uden bidrag,0.0
2025-08,983,A-indkomst uden bidrag,0.0
2025-09,983,A-indkomst uden bidrag,0.0
2025-10,983,A-indkomst uden bidrag,0.0
2025-11,983,A-indkomst uden bidrag,0.0
2025-12,983,A-indkomst uden bidrag,0.0
2025-01,462,A-indkomst uden bidrag,0.0
2025-02,462,A-indkomst uden bidrag,0.0
2025-03,462,A-indkomst uden bidrag,0.0
2025-04,462,A-indkomst uden bidrag,0.0
2025-05,462,A-indkomst uden bidrag,0.0
2025-06,462,A-indkomst uden bidrag,0.0
2025-07,462,A-indkomst uden bidrag,0.0
2025-08,462,A-indkomst uden bidrag,0.0
2025-09,462,A-indkomst uden bidrag,0.0
2025-10,462,A-indkomst uden bidrag,0.0
2025-11,462,A-indkomst uden bidrag,0.0
2025-12,462,A-indkomst uden bidrag,0.0
2025-01,207,A-indkomst uden bidrag,0.0
2025-02,207,A-indkomst uden bidrag,0.0
2025-03,207,A-indkomst uden bidrag,0.0
2025-04,207,A-indkomst uden bidrag,0.0
2025-05,207,A-indkomst uden bidrag,0.0
2025-06,207,A-indkomst uden bidrag,0.0
2025-07,207,A-indkomst uden bidrag,0.0
2025-08,207,A-indkomst uden bidrag,0.0
2025-09,207,A-indkomst uden bidrag,0.0
2025-10,207,A-indkomst uden bidrag,0.0
2025-11,207,A-indkomst uden bidrag,0.0
2025-12,207,A-indkomst uden bidrag,0.0
2025-01,414,A-indkomst uden bidrag,0.0
2025-02,414,A-indkomst uden bidrag,0.0
2025-03,414,A-indkomst uden bidrag,0.0
2025-04,414,A-indkomst uden bidrag,0.0
2025-05,414,A-indkomst uden bidrag,0.0
